Unnamed: 0,Label,clean_text,String,encoded_label
108,Non-bullying,salfok kaki cantik sekali asli,"""salfok sama kaki, tapi cantik banget asli""",0.0
109,Bullying,_dy1412 buset cantik diedit saja mba coba sudah aslinya sudah mirip buntelan kentut,"""@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut?""",1.0
110,Bullying,hitam putih kek kopi luwak,"""atas bawah hitam putih, kek kopi luwak""",1.0
111,Bullying,palsu badane diedit itu aslinya dimana2 lemak,"""Palsu badane diedit semua tu, aslinya dimana2 lemak""",1.0
112,Bullying,sudah kontrak skincare tetap saja buluk mel,"""Udah dapat kontrak dari skincare ttp aja buluk mel""",1.0
113,Non-bullying,heran netizen kalau tidak suka diliat saja,"""heran sama netizen klo gk suka jangan diliat aja""",0.0
114,Non-bullying,sukses yah ka rosameldianti_ semangat,"""sukses selalu yah ka @rosameldianti_ semangat""",0.0
115,Non-bullying,jujur suka meldi suka ngehujat orang,"""Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang""",0.0
116,Bullying,sumpah aslinya muka kamu lebar mirip baskom loh mel rosameldianti_,"""sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_""",1.0
117,Non-bullying,berkarya terus meldi walo tidak yang nuntun,"""Berkarya teros meldi walo ga ada yg nuntun kamu.""",0.0
118,Bullying,astaghfirullah seram ya bun ular jelmaan makhluk halus ya bun,"""Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun""",1.0
119,Non-bullying,heran cowokpun ngebully sabar meldi,"""Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.""",0.0
120,Bullying,astaga ratu edit muka sumpah seren mirip film setan2 begitu,"""Astaga? Ratu edit muka.. Sumpah seren kayak film setan2 gitu?..""",1.0
121,Bullying,matanya mirip katarak anjir ahahah,"""Matanya kayak katarak anjir AHAHAH""",1.0
122,Bullying,caption saja copas cantumin credit dasar iblis,"""Caption aja COPAS! Cantumin credit dong, dasar iblis""",1.0
123,Non-bullying,unfoll saja dosa ngebully2,"""Unfoll aja daripada kalian dosa ngebully2 terus..""",0.0
124,Non-bullying,meldi perhatikan orang china deh cantik,"""Meldi aku perhatikan kamu seperti orang china deh.. cantik""",0.0
125,Bullying,editan softlensnya mbaknya mirip ratu titisan ular wkwkwk,"""Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk""",1.0
126,Bullying,kasihan ular dibawa bawa tidak ular pantasnya bunglon buaya,"""Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..""",1.0
127,Non-bullying,maju terus ya sayang abaikan orang2 yang comment menyakitkan,"""Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan""",0.0
128,Bullying,kasihan ya rosameldianti_ hidup hanya bahan hujatan masyarakat mubadzir sekali deh hidup kamu kenapa tidak bunuh saja,"""Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat? Mubadzir banget deh hidup lo? Napa gak bunuh diri aja?""",1.0
129,Non-bullying,semangat mel bahasa asing mah berani entarnya,"""Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa""",0.0
130,Bullying,beda di foto yaa lebar sekali mukanya maaf foto editan ya,"""Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya""",1.0
131,Non-bullying,meldi kadang mulut aku rem kehaluanmu bangga berusaha mu yuhuuu,"""Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu""",0.0
132,Bullying,lupa edit ya itu muka melar,"""Lupa di edit ya tu muka melar""",1.0
133,Non-bullying,semangatt kesalahan belajar bahasa asing pembelajaran utamanya kesalahannya tidak terulang,"""Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang""",0.0
134,Non-bullying,kereennnn bully an netizen menjadikanmu belajar,"""Kereennnn.. dari bully.an netizen menjadikanmu mau belajar""",0.0
135,Bullying,hiiihhh jiik lihat nih orang auranya buruk sangat tidak manis manisnya,"""Hiiihhh jiik lihat nih orang? auranya buruk bgt gak ada manis manisnya""",1.0
136,Non-bullying,semangat belajar ya uga tidak bahasa inggris,"""Semangat untuk belajar ya? saya uga gak bisa bahasa inggris""",0.0
137,Non-bullying,niat keberanian,"""Yang penting ada niat.. dan keberanian""",0.0
138,Non-bullying,salut mel semangat belajar yang ngetawain berani,"""Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..""",0.0
139,Non-bullying,tidak apa-apa mel semangat belajar trusssss gampang nyerah pokoknya rosameldianti_,"""Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_""",0.0
140,Non-bullying,ngaku belagak pintar,"""Setidaknya dia ngaku. bukan belagak pintar""",0.0
141,Bullying,kalau mengharap ikutan kontes miss earth les inggris biar lidahnya tidak keseleo,"""Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo""",1.0
142,Non-bullying,postingan ya bund netizen menghujat,"""Cuma di postingan ini ya bund netizen sedikit yang menghujat""",0.0
143,Non-bullying,happy birthday mel sehat sukses yah aamiin,"""Happy birthday Mel sehat dan Sukses yah, Aamiin""",0.0
144,Non-bullying,happy birthday kak meldi imut n ngegemesin sukses,"""Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu""",0.0
145,Bullying,ya ampun ketiak lemaknya editan parah wkwk,"""Ya ampun ketiak dan lemaknya editan parah wkwk""",1.0
146,Bullying,ketiaknya habis amplas mel alus sekali,"""Ketiaknya habis di amplas mel, alus banget""",1.0
147,Bullying,sudah diedit begitu ketiak kamu hitam,"""Udah diedit gitu, ketiak lu tetap hitam""",1.0
148,Non-bullying,selamat ulang mel sudah yah tingkah,"""Selamat ulang tahun mel, udah yah jangan banyak tingkah""",0.0
149,Bullying,mukanya kuning sekali kaya kunyit,"""Mukanya kuning banget kaya kunyit""",1.0
150,Non-bullying,selamat ulang meldi sukses sehat ya,"""Selamat ulang tahun meldi sukses dan sehat terus ya?.""",0.0
151,Non-bullying,fotonya cantik ihhh biar tidak kena hujat ihh mah kasihan,"""Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan""",0.0
152,Non-bullying,happy birthday meldi semoga sukses umur rejekinya lancarkan amin,"""HBD meldi? Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin""",0.0
153,Bullying,perasaan kemarin lengannya kekar sekali kek petinju sudah begitu ketiaknya hitam difoto lengannya ketiaknya putih kek dibedakin,"""Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin""",1.0
154,Non-bullying,selamat ulang kak rosameldianti_ banyaknya sadar pansos yah amin,"""Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin""",0.0
155,Non-bullying,happy birthday cantik semoga kedepannya sukses,"""Hbd cantik semoga kedepannya tambah sukses""",0.0
156,Non-bullying,happy birthday mbak mel cantik panjangkan umurnya sehat,"""Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu""",0.0
157,Non-bullying,berdiri kaki,"""berdiri di kaki sendiri lebih baik""",0.0
158,Bullying,biar edit2 kaya saja ketiak hitam nya tidak bohongin,"""Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin""",1.0
159,Bullying,sumpah apapun lengan nya gede sekali,"""Sumpah demi apapun.. Lengan nya gede banget""",1.0
160,Bullying,selamat ulang umur ketemu dajjal,"""Selamat ulang tahun panjang umur sampai ketemu dajjal""",1.0
161,Bullying,ketiak hitam buluk kamu edit nutupin daki diketek kamu aka hitam ketiak kamu dasar dugong rosameldianti_,"""Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_""",1.0
162,Bullying,atm tinggal 150 ribu saja gaya kamu dugong,"""Di atm tinggal 150 ribu aja banyak gaya lu dugong""",1.0
163,Bullying,tidak bagus2nya suara polanya,"""Gak ada bagus2nya suara dan polanya?.""",1.0
164,Bullying,si meldi jelek saja gaya beda sekali sama tante n sepupunya sudah jelas2 cantik,"""Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik""",1.0
165,Non-bullying,sudah berubah tidak mirip saya lihat,"""Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat""",0.0
166,Bullying,ngedit ketiaknya sudah ya sampai ngeblur pisan putihnya kek cat tembok,"""Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok""",1.0
167,Bullying,aduh dugong saja gila filter,"""Aduh dugong masih aja gila filter?.""",1.0
168,Bullying,muka saja didempul ketiak,"""Sekarang bukan muka aja yang didempul, tapi ketiak juga""",1.0
169,Bullying,kasihan kebelet artis tidak bakat,"""Kasian kebelet artis tapi gak punya bakat""",1.0
170,Bullying,peliharaannya lepas tolong diangkut,"""Yang merasa peliharaannya lepas, tolong diangkut""",1.0
171,Non-bullying,miris sekali ultah didoain baik2 bully kasihan god bless u mel,"""Miris banget? ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel""",0.0
172,Bullying,mudah mudahan kamu jelek amin ya allah,"""Mudah mudahan lu jadi gembel. Amin ya Allah""",1.0
173,Bullying,ketiaknya hitam dikasih bedak nya abu monyet,"""Ketiaknya hitam dikasih bedak jadi nya abu"" monyet""",1.0
174,Non-bullying,heran saya mah tidak suka tidak usah follow sudah tahu ni akun private kalau kamu follow ngebuli tanda nya kamu sirik tidak suka ya tidak usah diliat kaya sempurna saja,"""Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja""",0.0
175,Bullying,saya berharap kamu saja si yang sakit laura lol,"""Gua berharap lu aja si yg sakit bukan laura lol""",1.0
176,Bullying,kamu saja menderitaaa lora anj,"""Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!""",1.0
177,Bullying,gaga sempet benar lora kamu tinggalin kamu orang jahat tidak kamu tidak bahagia tidak,"""GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA""",1.0
178,Bullying,kamu benar tidak kalau sempet menyakiti lora saya santet,"""Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!""",1.0
179,Bullying,si gaga kek anjing,"""Si gaga kok kek anjing""",1.0
180,Non-bullying,semangat gaga liat kebelakang fokus saja kedepan muda yang,"""Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.""",0.0
181,Bullying,tidak cantiknya gila,"""Gak ada cantiknya. Gila yang ada""",1.0
182,Non-bullying,meldi bersinar yaaa pertahanin karir jangan sia siain,"""meldi makin bersinar yaaa, pertahanin karir jgn di sia siain""",0.0
183,Non-bullying,semangat apapun dalah dimata pembenci,"""Tetap semangat?. sebaik apapun kamu akan dalah Dimata pembenci?..""",0.0
184,Bullying,asli tidak bebet tidur ni anak kasihan,"""Asli gak ada bebet bobo ni anak. kasihan sekali.""",1.0
185,Bullying,kumat semedinya segini keluarnya,"""kumat? lama semedinya segini keluarnya""",1.0
186,Bullying,tangannya hitam beda ama muka,"""Tangannya hitam? beda ama muka""",1.0
187,Bullying,meldi foto gendut beda,"""Kok meldi di foto aku gendut beda""",1.0
188,Bullying,gatau sih cantik tidak aura nya cantik idih begitu lihatnya yaa,"""Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??""",1.0
189,Non-bullying,buruk nya buruk mata tidak menyukai mu,"""Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..""",0.0
190,Bullying,gila ni siluman story orang kelihatan sekali tumpukan2 lemaknya buriknya,"""Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi""",1.0
191,Bullying,dasar bodoh kamu saya jijik kamu bro mirip tidak otak sekali,"""Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget""",1.0
192,Bullying,kamu kamu bagus tuh anjing wkwkw,"""Lo kira lo bagus tuh begitu anjing wkwkw""",1.0
193,Non-bullying,maafin aaa semoga jera kedepannya,"""Di maafin aaa? semoga dia jera untuk kedepannya?""",0.0
194,Bullying,eh bocah mending kamu mati saja tidak orang mirip kamu hahahahaha,"""Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha""",1.0
195,Non-bullying,btw video bohong nya pas tidak percaya lihat tribun news hujat ya,"""Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya""",0.0
196,Non-bullying,okay bro kalem saja semangat putus asa,"""Okay bro kalem aja, tetap semangat dan jangan putus asa""",0.0
